"tarih","ilce","ilce_kodu","cikan_arac_sayisi"
2019-08-01,Maltepe,2012,23
2019-08-01,Pendik,1835,33
2019-08-01,Sancaktepe,2054,32
2019-08-01,Sarıyer,1604,0
2019-08-01,Silivri,1622,2
2019-08-01,Sultanbeyli,2014,3
2019-08-01,Sultangazi,2055,12
2019-08-01,Şile,1659,5
2019-08-01,Şişli,1663,7
2019-08-01,Tuzla,2015,17
2019-08-01,Ümraniye,1852,27
2019-08-01,Üsküdar,1708,27
2019-08-01,Zeytinburnu,1739,10
2019-09-01,Adalar,1103,16
2019-09-01,Ataşehir,2049,20
2019-09-01,Arnavutköy,2048,0
2019-09-01,Avcılar,2003,10
2019-09-01,Bağcılar,2004,0
2019-09-01,Bahçelievler,2005,6
2019-09-01,Bakırköy,1166,38
2019-09-01,Başakşehir,2050,0
2019-09-01,Bayrampaşa,1886,1
2019-09-01,Beşiktaş,1183,16
2019-09-01,Beykoz,1185,19
2019-09-01,Beylikdüzü,2051,3
2019-09-01,Beyoğlu,1186,16
2019-09-01,Büyükçekmece,1782,6
2019-09-01,Çatalca,1237,1
2019-09-01,Çekmeköy,2052,1
2019-09-01,Esenler,2016,64
2019-09-01,Esenyurt,2053,7
2019-09-01,Eyüpsultan,1325,22
2019-09-01,Fatih,1327,62
2019-09-01,Gaziosmanpaşa,1336,13
2019-09-01,Güngören,2010,0
2019-09-01,Kadıköy,1421,40
2019-09-01,Kâğıthane,1810,12
2019-09-01,Kartal,1449,22
2019-09-01,Küçükçekmece,1823,8
2019-09-01,Maltepe,2012,80
2019-09-01,Pendik,1835,19
2019-09-01,Sancaktepe,2054,3
2019-09-01,Sarıyer,1604,6
2019-09-01,Silivri,1622,0
2019-09-01,Sultanbeyli,2014,17
2019-09-01,Sultangazi,2055,16
2019-09-01,Şile,1659,7
2019-09-01,Şişli,1663,8
2019-09-01,Tuzla,2015,27
2019-09-01,Ümraniye,1852,42
2019-09-01,Üsküdar,1708,35
2019-09-01,Zeytinburnu,1739,17
2019-10-01,Adalar,1103,20
2019-10-01,Ataşehir,2049,9
2019-10-01,Arnavutköy,2048,2
2019-10-01,Avcılar,2003,13
2019-10-01,Bağcılar,2004,0
2019-10-01,Bahçelievler,2005,8
2019-10-01,Bakırköy,1166,37
2019-10-01,Başakşehir,2050,10
2019-10-01,Bayrampaşa,1886,0
2019-10-01,Beşiktaş,1183,30
2019-10-01,Beykoz,1185,23
2019-10-01,Beylikdüzü,2051,14
2019-10-01,Beyoğlu,1186,37
2019-10-01,Büyükçekmece,1782,8
2019-10-01,Çatalca,1237,2
2019-10-01,Çekmeköy,2052,10
2019-10-01,Esenler,2016,54
2019-10-01,Esenyurt,2053,5
2019-10-01,Eyüpsultan,1325,35
2019-10-01,Fatih,1327,61
2019-10-01,Gaziosmanpaşa,1336,2
2019-10-01,Güngören,2010,5
2019-10-01,Kadıköy,1421,32
2019-10-01,Kâğıthane,1810,5
2019-10-01,Kartal,1449,25
2019-10-01,Küçükçekmece,1823,16
2019-10-01,Maltepe,2012,52
2019-10-01,Pendik,1835,22
2019-10-01,Sancaktepe,2054,6
2019-10-01,Sarıyer,1604,9
2019-10-01,Silivri,1622,0
2019-10-01,Sultanbeyli,2014,18
2019-10-01,Sultangazi,2055,4
2019-10-01,Şile,1659,5
2019-10-01,Şişli,1663,9
2019-10-01,Tuzla,2015,21
2019-10-01,Ümraniye,1852,42
2019-10-01,Üsküdar,1708,36
2019-10-01,Zeytinburnu,1739,14
2019-11-01,Adalar,1103,12
2019-11-01,Ataşehir,2049,19
2019-11-01,Arnavutköy,2048,0
2019-11-01,Avcılar,2003,13
2019-11-01,Bağcılar,2004,9
2019-11-01,Bahçelievler,2005,1
2019-11-01,Bakırköy,1166,27
2019-11-01,Başakşehir,2050,10
2019-11-01,Bayrampaşa,1886,2
2019-11-01,Beşiktaş,1183,20
2019-11-01,Beykoz,1185,15
2019-11-01,Beylikdüzü,2051,1
2019-11-01,Beyoğlu,1186,20
2019-11-01,Büyükçekmece,1782,4
2019-11-01,Çatalca,1237,0
2019-11-01,Çekmeköy,2052,3
2019-11-01,Esenler,2016,57
2019-11-01,Esenyurt,2053,9
2019-11-01,Eyüpsultan,1325,46
2019-11-01,Fatih,1327,81
2019-11-01,Gaziosmanpaşa,1336,2
2019-11-01,Güngören,2010,3
2019-11-01,Kadıköy,1421,29
2019-11-01,Kâğıthane,1810,6
2019-11-01,Kartal,1449,15
2019-11-01,Küçükçekmece,1823,20
2019-11-01,Maltepe,2012,44
2019-11-01,Pendik,1835,18
2019-11-01,Sancaktepe,2054,11
2019-11-01,Sarıyer,1604,0
2019-11-01,Silivri,1622,0
2019-11-01,Sultanbeyli,2014,13
2019-11-01,Sultangazi,2055,24
2019-11-01,Şile,1659,3
2019-11-01,Şişli,1663,18
2019-11-01,Tuzla,2015,11
2019-11-01,Ümraniye,1852,23
2019-11-01,Üsküdar,1708,27
2019-11-01,Zeytinburnu,1739,10
2019-12-01,Adalar,1103,23
2019-12-01,Ataşehir,2049,8
2019-12-01,Arnavutköy,2048,1
2019-12-01,Avcılar,2003,4
2019-12-01,Bağcılar,2004,3
2019-12-01,Bahçelievler,2005,6
2019-12-01,Bakırköy,1166,16
2019-12-01,Başakşehir,2050,8
2019-12-01,Bayrampaşa,1886,2
2019-12-01,Beşiktaş,1183,37
2019-12-01,Beykoz,1185,10
2019-12-01,Beylikdüzü,2051,7
2019-12-01,Beyoğlu,1186,10
2019-12-01,Büyükçekmece,1782,4
2019-12-01,Çatalca,1237,0
2019-12-01,Çekmeköy,2052,5
2019-12-01,Esenler,2016,57
2019-12-01,Esenyurt,2053,1
2019-12-01,Eyüpsultan,1325,28
2019-12-01,Fatih,1327,92
2019-12-01,Gaziosmanpaşa,1336,3
2019-12-01,Güngören,2010,0
2019-12-01,Kadıköy,1421,40
2019-12-01,Kâğıthane,1810,11
2019-12-01,Kartal,1449,16
2019-12-01,Küçükçekmece,1823,13
2019-12-01,Maltepe,2012,34
2019-12-01,Pendik,1835,22
2019-12-01,Sancaktepe,2054,5
2019-12-01,Sarıyer,1604,4
2019-12-01,Silivri,1622,2
2019-12-01,Sultanbeyli,2014,4
2019-12-01,Sultangazi,2055,14
2019-12-01,Şile,1659,3
2019-12-01,Şişli,1663,4
2019-12-01,Tuzla,2015,16
2019-12-01,Ümraniye,1852,19
2019-12-01,Üsküdar,1708,28
2019-12-01,Zeytinburnu,1739,10
2020-01-01,Adalar,1103,21
2020-01-01,Ataşehir,2049,1
2020-01-01,Arnavutköy,2048,13
2020-01-01,Avcılar,2003,16
2020-01-01,Bağcılar,2004,6
2020-01-01,Bahçelievler,2005,10
2020-01-01,Bakırköy,1166,12
2020-01-01,Başakşehir,2050,0
2020-01-01,Bayrampaşa,1886,36
2020-01-01,Beşiktaş,1183,9
2020-01-01,Beykoz,1185,7
2020-01-01,Beylikdüzü,2051,3
2020-01-01,Beyoğlu,1186,19
2020-01-01,Büyükçekmece,1782,15
2020-01-01,Çatalca,1237,0
2020-01-01,Çekmeköy,2052,1
2020-01-01,Esenler,2016,9
2020-01-01,Esenyurt,2053,0
2020-01-01,Eyüpsultan,1325,33
2020-01-01,Fatih,1327,58
2020-01-01,Gaziosmanpaşa,1336,5
2020-01-01,Güngören,2010,6
2020-01-01,Kadıköy,1421,21
2020-01-01,Kâğıthane,1810,5
2020-01-01,Kartal,1449,20
2020-01-01,Küçükçekmece,1823,1
2020-01-01,Maltepe,2012,12
2020-01-01,Pendik,1835,9
2020-01-01,Sancaktepe,2054,0
2020-01-01,Sarıyer,1604,4
2020-01-01,Silivri,1622,1
2020-01-01,Sultanbeyli,2014,9
2020-01-01,Sultangazi,2055,10
2020-01-01,Şile,1659,3
2020-01-01,Şişli,1663,12
2020-01-01,Tuzla,2015,10
2020-01-01,Ümraniye,1852,13
2020-01-01,Üsküdar,1708,12
2020-01-01,Zeytinburnu,1739,6
2020-02-01,Adalar,1103,5
2020-02-01,Ataşehir,2049,0
2020-02-01,Arnavutköy,2048,2
2020-02-01,Avcılar,2003,7
2020-02-01,Bağcılar,2004,7
2020-02-01,Bahçelievler,2005,6
2020-02-01,Bakırköy,1166,17
2020-02-01,Başakşehir,2050,0
2020-02-01,Bayrampaşa,1886,15
2020-02-01,Beşiktaş,1183,7
2020-02-01,Beykoz,1185,7
2020-02-01,Beylikdüzü,2051,2
2020-02-01,Beyoğlu,1186,13
2020-02-01,Büyükçekmece,1782,19
2020-02-01,Çatalca,1237,0
2020-02-01,Çekmeköy,2052,0
2020-02-01,Esenler,2016,14
2020-02-01,Esenyurt,2053,0
2020-02-01,Eyüpsultan,1325,54
2020-02-01,Fatih,1327,48
2020-02-01,Gaziosmanpaşa,1336,1
2020-02-01,Güngören,2010,0
2020-02-01,Kadıköy,1421,29
2020-02-01,Kâğıthane,1810,11
2020-02-01,Kartal,1449,24
2020-02-01,Küçükçekmece,1823,0
2020-02-01,Maltepe,2012,14
2020-02-01,Pendik,1835,15
2020-02-01,Sancaktepe,2054,6
2020-02-01,Sarıyer,1604,0
2020-02-01,Silivri,1622,2
2020-02-01,Sultanbeyli,2014,3
2020-02-01,Sultangazi,2055,13
2020-02-01,Şile,1659,1
2020-02-01,Şişli,1663,12
2020-02-01,Tuzla,2015,21
2020-02-01,Ümraniye,1852,10
2020-02-01,Üsküdar,1708,21
2020-02-01,Zeytinburnu,1739,5
2020-03-01,Adalar,1103,9
2020-03-01,Ataşehir,2049,1
2020-03-01,Arnavutköy,2048,10
2020-03-01,Avcılar,2003,10
2020-03-01,Bağcılar,2004,15
2020-03-01,Bahçelievler,2005,12
2020-03-01,Bakırköy,1166,27
2020-03-01,Başakşehir,2050,11
2020-03-01,Bayrampaşa,1886,24
2020-03-01,Beşiktaş,1183,20
2020-03-01,Beykoz,1185,7
2020-03-01,Beylikdüzü,2051,15
2020-03-01,Beyoğlu,1186,20
2020-03-01,Büyükçekmece,1782,17
2020-03-01,Çatalca,1237,2
2020-03-01,Çekmeköy,2052,2
2020-03-01,Esenler,2016,15
2020-03-01,Esenyurt,2053,14
2020-03-01,Eyüpsultan,1325,66
2020-03-01,Fatih,1327,98
2020-03-01,Gaziosmanpaşa,1336,6
2020-03-01,Güngören,2010,7
2020-03-01,Kadıköy,1421,32
2020-03-01,Kâğıthane,1810,14
2020-03-01,Kartal,1449,36
2020-03-01,Küçükçekmece,1823,8
2020-03-01,Maltepe,2012,21
2020-03-01,Pendik,1835,22
2020-03-01,Sancaktepe,2054,16
2020-03-01,Sarıyer,1604,9
2020-03-01,Silivri,1622,7
2020-03-01,Sultanbeyli,2014,8
2020-03-01,Sultangazi,2055,28
2020-03-01,Şile,1659,3
2020-03-01,Şişli,1663,29
2020-03-01,Tuzla,2015,32
2020-03-01,Ümraniye,1852,20
2020-03-01,Üsküdar,1708,28
2020-03-01,Zeytinburnu,1739,27
2020-04-01,Adalar,1103,7
2020-04-01,Ataşehir,2049,6
2020-04-01,Arnavutköy,2048,8
2020-04-01,Avcılar,2003,19
2020-04-01,Bağcılar,2004,25
2020-04-01,Bahçelievler,2005,12
2020-04-01,Bakırköy,1166,26
2020-04-01,Başakşehir,2050,9
2020-04-01,Bayrampaşa,1886,29
2020-04-01,Beşiktaş,1183,46
2020-04-01,Beykoz,1185,15
2020-04-01,Beylikdüzü,2051,17
2020-04-01,Beyoğlu,1186,45
2020-04-01,Büyükçekmece,1782,26
2020-04-01,Çatalca,1237,7
2020-04-01,Çekmeköy,2052,1
2020-04-01,Esenler,2016,18
2020-04-01,Esenyurt,2053,11
2020-04-01,Eyüpsultan,1325,53
2020-04-01,Fatih,1327,110
2020-04-01,Gaziosmanpaşa,1336,13
2020-04-01,Güngören,2010,3
2020-04-01,Kadıköy,1421,36
2020-04-01,Kâğıthane,1810,1
2020-04-01,Kartal,1449,42
2020-04-01,Küçükçekmece,1823,30
2020-04-01,Maltepe,2012,48
2020-04-01,Pendik,1835,36
2020-04-01,Sancaktepe,2054,16
2020-04-01,Sarıyer,1604,10
2020-04-01,Silivri,1622,19
2020-04-01,Sultanbeyli,2014,14
2020-04-01,Sultangazi,2055,20
2020-04-01,Şile,1659,1
2020-04-01,Şişli,1663,36
2020-04-01,Tuzla,2015,15
2020-04-01,Ümraniye,1852,30
2020-04-01,Üsküdar,1708,40
2020-04-01,Zeytinburnu,1739,15
2020-05-01,Adalar,1103,4
2020-05-01,Ataşehir,2049,8
2020-05-01,Arnavutköy,2048,15
2020-05-01,Avcılar,2003,25
2020-05-01,Bağcılar,2004,3
2020-05-01,Bahçelievler,2005,20
2020-05-01,Bakırköy,1166,22
2020-05-01,Başakşehir,2050,56
2020-05-01,Bayrampaşa,1886,18
2020-05-01,Beşiktaş,1183,17
2020-05-01,Beykoz,1185,7
2020-05-01,Beylikdüzü,2051,16
2020-05-01,Beyoğlu,1186,45
2020-05-01,Büyükçekmece,1782,21
2020-05-01,Çatalca,1237,3
2020-05-01,Çekmeköy,2052,8
2020-05-01,Esenler,2016,12
2020-05-01,Esenyurt,2053,14
2020-05-01,Eyüpsultan,1325,64
2020-05-01,Fatih,1327,107
2020-05-01,Gaziosmanpaşa,1336,9
2020-05-01,Güngören,2010,4
2020-05-01,Kadıköy,1421,28
2020-05-01,Kâğıthane,1810,31
2020-05-01,Kartal,1449,16
2020-05-01,Küçükçekmece,1823,44
2020-05-01,Maltepe,2012,71
2020-05-01,Pendik,1835,40
2020-05-01,Sancaktepe,2054,10
2020-05-01,Sarıyer,1604,33
2020-05-01,Silivri,1622,19
2020-05-01,Sultanbeyli,2014,10
2020-05-01,Sultangazi,2055,19
2020-05-01,Şile,1659,6
2020-05-01,Şişli,1663,34
2020-05-01,Tuzla,2015,19
2020-05-01,Ümraniye,1852,46
2020-05-01,Üsküdar,1708,47
2020-05-01,Zeytinburnu,1739,43
2020-06-01,Adalar,1103,33
2020-06-01,Ataşehir,2049,4
2020-06-01,Arnavutköy,2048,6
2020-06-01,Avcılar,2003,23
2020-06-01,Bağcılar,2004,21
2020-06-01,Bahçelievler,2005,11
2020-06-01,Bakırköy,1166,31
2020-06-01,Başakşehir,2050,52
2020-06-01,Bayrampaşa,1886,24
2020-06-01,Beşiktaş,1183,24
2020-06-01,Beykoz,1185,21
2020-06-01,Beylikdüzü,2051,16
2020-06-01,Beyoğlu,1186,34
2020-06-01,Büyükçekmece,1782,8
2020-06-01,Çatalca,1237,2
2020-06-01,Çekmeköy,2052,4
2020-06-01,Esenler,2016,22
2020-06-01,Esenyurt,2053,68
2020-06-01,Eyüpsultan,1325,43
2020-06-01,Fatih,1327,96
2020-06-01,Gaziosmanpaşa,1336,15
2020-06-01,Güngören,2010,2
2020-06-01,Kadıköy,1421,58
2020-06-01,Kâğıthane,1810,11
2020-06-01,Kartal,1449,13
2020-06-01,Küçükçekmece,1823,47
2020-06-01,Maltepe,2012,49
2020-06-01,Pendik,1835,31
2020-06-01,Sancaktepe,2054,8
2020-06-01,Sarıyer,1604,3
2020-06-01,Silivri,1622,16
2020-06-01,Sultanbeyli,2014,9
2020-06-01,Sultangazi,2055,40
2020-06-01,Şile,1659,12
2020-06-01,Şişli,1663,16
2020-06-01,Tuzla,2015,29
2020-06-01,Ümraniye,1852,21
2020-06-01,Üsküdar,1708,43
2020-06-01,Zeytinburnu,1739,16
2020-07-01,Adalar,1103,6
2020-07-01,Ataşehir,2049,27
2020-07-01,Arnavutköy,2048,7
2020-07-01,Avcılar,2003,33
2020-07-01,Bağcılar,2004,12
2020-07-01,Bahçelievler,2005,10
2020-07-01,Bakırköy,1166,45
2020-07-01,Başakşehir,2050,44
2020-07-01,Bayrampaşa,1886,20
2020-07-01,Beşiktaş,1183,31
2020-07-01,Beykoz,1185,23
2020-07-01,Beylikdüzü,2051,15
2020-07-01,Beyoğlu,1186,13
2020-07-01,Büyükçekmece,1782,13
2020-07-01,Çatalca,1237,3
2020-07-01,Çekmeköy,2052,7
2020-07-01,Esenler,2016,23
2020-07-01,Esenyurt,2053,11
2020-07-01,Eyüpsultan,1325,60
2020-07-01,Fatih,1327,100
2020-07-01,Gaziosmanpaşa,1336,2
2020-07-01,Güngören,2010,3
2020-07-01,Kadıköy,1421,72
2020-07-01,Kâğıthane,1810,2
2020-07-01,Kartal,1449,7
2020-07-01,Küçükçekmece,1823,39
2020-07-01,Maltepe,2012,38
2020-07-01,Pendik,1835,49
2020-07-01,Sancaktepe,2054,19
2020-07-01,Sarıyer,1604,7
2020-07-01,Silivri,1622,14
2020-07-01,Sultanbeyli,2014,7
2020-07-01,Sultangazi,2055,37
2020-07-01,Şile,1659,5
2020-07-01,Şişli,1663,20
2020-07-01,Tuzla,2015,34
2020-07-01,Ümraniye,1852,23
2020-07-01,Üsküdar,1708,30
2020-07-01,Zeytinburnu,1739,28
2020-08-01,Adalar,1103,16
2020-08-01,Ataşehir,2049,0
2020-08-01,Arnavutköy,2048,0
2020-08-01,Avcılar,2003,22
2020-08-01,Bağcılar,2004,14
2020-08-01,Bahçelievler,2005,11
2020-08-01,Bakırköy,1166,45
2020-08-01,Başakşehir,2050,51
2020-08-01,Bayrampaşa,1886,20
2020-08-01,Beşiktaş,1183,19
2020-08-01,Beykoz,1185,12
2020-08-01,Beylikdüzü,2051,18
2020-08-01,Beyoğlu,1186,30
2020-08-01,Büyükçekmece,1782,10
2020-08-01,Çatalca,1237,0
2020-08-01,Çekmeköy,2052,12
2020-08-01,Esenler,2016,22
2020-08-01,Esenyurt,2053,7
2020-08-01,Eyüpsultan,1325,57
2020-08-01,Fatih,1327,95
2020-08-01,Gaziosmanpaşa,1336,5
2020-08-01,Güngören,2010,5
2020-08-01,Kadıköy,1421,36
2020-08-01,Kâğıthane,1810,8
2020-08-01,Kartal,1449,11
2020-08-01,Küçükçekmece,1823,27
2020-08-01,Maltepe,2012,91
2020-08-01,Pendik,1835,20
2020-08-01,Sancaktepe,2054,31
2020-08-01,Sarıyer,1604,12
2020-08-01,Silivri,1622,17
2020-08-01,Sultanbeyli,2014,10
2020-08-01,Sultangazi,2055,13
2020-08-01,Şile,1659,2
2020-08-01,Şişli,1663,10
2020-08-01,Tuzla,2015,30
2020-08-01,Ümraniye,1852,26
2020-08-01,Üsküdar,1708,17
2020-08-01,Zeytinburnu,1739,29
2020-09-01,Adalar,1103,17
2020-09-01,Ataşehir,2049,1
2020-09-01,Arnavutköy,2048,0
2020-09-01,Avcılar,2003,15
2020-09-01,Bağcılar,2004,13
2020-09-01,Bahçelievler,2005,13
2020-09-01,Bakırköy,1166,55
2020-09-01,Başakşehir,2050,31
2020-09-01,Bayrampaşa,1886,17
2020-09-01,Beşiktaş,1183,23
2020-09-01,Beykoz,1185,13
2020-09-01,Beylikdüzü,2051,12
2020-09-01,Beyoğlu,1186,20
2020-09-01,Büyükçekmece,1782,12
2020-09-01,Çatalca,1237,0
2020-09-01,Çekmeköy,2052,1
2020-09-01,Esenler,2016,20
2020-09-01,Esenyurt,2053,10
2020-09-01,Eyüpsultan,1325,47
2020-09-01,Fatih,1327,89
2020-09-01,Gaziosmanpaşa,1336,8
2020-09-01,Güngören,2010,4
2020-09-01,Kadıköy,1421,26
2020-09-01,Kâğıthane,1810,2
2020-09-01,Kartal,1449,27
2020-09-01,Küçükçekmece,1823,28
2020-09-01,Maltepe,2012,45
2020-09-01,Pendik,1835,16
2020-09-01,Sancaktepe,2054,6
2020-09-01,Sarıyer,1604,0
2020-09-01,Silivri,1622,28
2020-09-01,Sultanbeyli,2014,12
2020-09-01,Sultangazi,2055,30
2020-09-01,Şile,1659,2
2020-09-01,Şişli,1663,18
2020-09-01,Tuzla,2015,22
2020-09-01,Ümraniye,1852,25
2020-09-01,Üsküdar,1708,18
2020-09-01,Zeytinburnu,1739,26
2020-10-01,Adalar,1103,4
2020-10-01,Ataşehir,2049,6
2020-10-01,Arnavutköy,2048,2
2020-10-01,Avcılar,2003,11
2020-10-01,Bağcılar,2004,2
2020-10-01,Bahçelievler,2005,13
2020-10-01,Bakırköy,1166,35
2020-10-01,Başakşehir,2050,20
2020-10-01,Bayrampaşa,1886,0
2020-10-01,Beşiktaş,1183,7
2020-10-01,Beykoz,1185,15
2020-10-01,Beylikdüzü,2051,5
2020-10-01,Beyoğlu,1186,13
2020-10-01,Büyükçekmece,1782,12
2020-10-01,Çatalca,1237,1
2020-10-01,Çekmeköy,2052,5
2020-10-01,Esenler,2016,29
2020-10-01,Esenyurt,2053,13
2020-10-01,Eyüpsultan,1325,61
2020-10-01,Fatih,1327,90
2020-10-01,Gaziosmanpaşa,1336,8
2020-10-01,Güngören,2010,4
2020-10-01,Kadıköy,1421,27
2020-10-01,Kâğıthane,1810,10
2020-10-01,Kartal,1449,33
2020-10-01,Küçükçekmece,1823,29
2020-10-01,Maltepe,2012,48
2020-10-01,Pendik,1835,22
2020-10-01,Sancaktepe,2054,10
2020-10-01,Sarıyer,1604,4
2020-10-01,Silivri,1622,29
2020-10-01,Sultanbeyli,2014,10
2020-10-01,Sultangazi,2055,14
2020-10-01,Şile,1659,0
2020-10-01,Şişli,1663,22
2020-10-01,Tuzla,2015,29
2020-10-01,Ümraniye,1852,20
2020-10-01,Üsküdar,1708,21
2020-10-01,Zeytinburnu,1739,14
2020-11-01,Adalar,1103,3
2020-11-01,Ataşehir,2049,1
2020-11-01,Arnavutköy,2048,5
2020-11-01,Avcılar,2003,16
2020-11-01,Bağcılar,2004,5
2020-11-01,Bahçelievler,2005,9
2020-11-01,Bakırköy,1166,30
2020-11-01,Başakşehir,2050,6
2020-11-01,Bayrampaşa,1886,5
2020-11-01,Beşiktaş,1183,11
2020-11-01,Beykoz,1185,18
2020-11-01,Beylikdüzü,2051,8
2020-11-01,Beyoğlu,1186,19
2020-11-01,Büyükçekmece,1782,5
2020-11-01,Çatalca,1237,10
2020-11-01,Çekmeköy,2052,3
2020-11-01,Esenler,2016,
2020-11-01,Esenyurt,2053,1
2020-11-01,Eyüpsultan,1325,56
2020-11-01,Fatih,1327,60
2020-11-01,Gaziosmanpaşa,1336,13
2020-11-01,Güngören,2010,2
2020-11-01,Kadıköy,1421,23
2020-11-01,Kâğıthane,1810,
2020-11-01,Kartal,1449,21
2020-11-01,Küçükçekmece,1823,14
2020-11-01,Maltepe,2012,42
2020-11-01,Pendik,1835,9
2020-11-01,Sancaktepe,2054,3
2020-11-01,Sarıyer,1604,3
2020-11-01,Silivri,1622,8
2020-11-01,Sultanbeyli,2014,3
2020-11-01,Sultangazi,2055,20
2020-11-01,Şile,1659,4
2020-11-01,Şişli,1663,9
2020-11-01,Tuzla,2015,37
2020-11-01,Ümraniye,1852,11
2020-11-01,Üsküdar,1708,24
2020-11-01,Zeytinburnu,1739,6
